# step value
1 587.611111111111
2 587.611111111111
3 457.943630642362
4 145.718563503689
5 29.5947842068141
6 29.5947842068141
7 29.5947842068141
8 29.5947842068141
9 29.5947842068141
10 28.5536233923501
11 23.2106689658119
12 23.2106689658119
13 23.2106689658119
14 23.0523694690671
15 22.882314218932
16 22.8099155336286
17 22.7731462176153
18 22.7635908141432
19 22.755175556119
20 22.7444214193617
21 22.7444214193617
22 22.7443809700875
23 22.7431186537121
24 22.7428632999318
25 22.7426868785253
26 22.7426327909664
27 22.7425639690976
28 22.7425639690976
29 22.7425639690976
30 22.7425485524208
31 22.7425459321344
32 22.7425440277366
33 22.7425437942863
34 22.7425424825032
35 22.7425423566941
36 22.7425421375305
37 22.7425421375305
38 22.7425420062363
39 22.742541983824
40 22.742541983824
41 22.7425419616388
42 22.7425419616388
43 22.7425419405684
44 22.7425419405684
45 22.7425419405684
46 22.7425419405684
47 22.7425419405684
48 22.7425419402904
