# step value
1 1230.715
2 267.865
3 70.6525000000001
4 70.6525000000001
5 47.93921875
6 19.278232421875
7 7.83689636230472
8 7.83689636230472
9 4.57534725904461
10 2.60750219389794
11 2.38730331073516
12 2.31889129563409
13 1.85755761681687
14 1.82103171197989
15 1.82103171197989
16 1.76347300010834
17 1.76347300010834
18 1.76347300010834
19 1.76347300010834
20 1.75636482064943
21 1.75636482064943
22 1.75636482064943
23 1.75636482064943
24 1.75542900615963
25 1.75542900615963
26 1.75542900615963
27 1.75538031964741
28 1.75533133624744
29 1.75531821121505
30 1.75531200962015
31 1.75530335259938
32 1.75530335259938
33 1.75530274243128
34 1.75530108900333
35 1.75530092623047
36 1.75530092623047
37 1.75530084114937
38 1.75530078031367
39 1.75530074133455
40 1.75530074133455
41 1.75530073034857
42 1.75530073034857
43 1.75530072746477
44 1.75530072659762
